iata_code,name,municipality
ABQ,Albuquerque International Sunport,Albuquerque
ACK,Nantucket Memorial Airport,Nantucket
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta
AUS,Austin Bergstrom International Airport,Austin
BNA,Nashville International Airport,Nashville
BOI,Boise Air Terminal/Gowen Field,Boise
BOS,General Edward Lawrence Logan International Airport,Boston
BTV,Burlington International Airport,Burlington
BUF,Buffalo Niagara International Airport,Buffalo
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore
CAE,Columbia Metropolitan Airport,Columbia
CHA,Lovell Field,Chattanooga
CHO,Charlottesville Albemarle Airport,Charlottesville
CHS,Charleston Air Force Base-International Airport,Charleston
CLE,Cleveland Hopkins International Airport,Cleveland
CLT,Charlotte Douglas International Airport,Charlotte
CMH,John Glenn Columbus International Airport,Columbus
CNM,Cavern City Air Terminal,Carlsbad
COU,Columbia Regional Airport,Columbia
CSG,Columbus Metropolitan Airport,Columbus
CVG,Cincinnati Northern Kentucky International Airport,Cincinnati
DAL,Dallas Love Field,Dallas
DCA,Ronald Reagan Washington National Airport,Washington
DEN,Denver International Airport,Denver
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth
DTW,Detroit Metropolitan Wayne County Airport,Detroit
EWR,Newark Liberty International Airport,Newark
EYW,Key West International Airport,Key West
FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale
GSO,Piedmont Triad International Airport,Greensboro
HPN,Westchester County Airport,White Plains
HSV,Huntsville International Carl T Jones Field,Huntsville
IAD,Washington Dulles International Airport,Washington
IAH,George Bush Intercontinental Houston Airport,Houston
IND,Indianapolis International Airport,Indianapolis
JAC,Jackson Hole Airport,Jackson
JAX,Jacksonville International Airport,Jacksonville
JFK,John F Kennedy International Airport,New York
LAS,McCarran International Airport,Las Vegas
LAX,Los Angeles International Airport,Los Angeles
LEX,Blue Grass Airport,Lexington
LGA,La Guardia Airport,New York
LIT,Bill & Hillary Clinton National Airport/Adams Field,Little Rock
MCI,Kansas City International Airport,Kansas City
MCO,Orlando International Airport,Orlando
MDT,Harrisburg International Airport,Harrisburg
MEM,Memphis International Airport,Memphis
MIA,Miami International Airport,Miami
MKE,General Mitchell International Airport,Milwaukee
MOB,Mobile Regional Airport,Mobile
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis
MSS,Massena International Richards Field,Massena
MSY,Louis Armstrong New Orleans International Airport,New Orleans
MWA,Williamson County Regional Airport,Marion
MYR,Myrtle Beach International Airport,Myrtle Beach
OAK,Metropolitan Oakland International Airport,Oakland
ONT,Ontario International Airport,Ontario
ORD,Chicago O'Hare International Airport,Chicago
ORF,Norfolk International Airport,Norfolk
OWB,Owensboro Daviess County Airport,Owensboro
PDX,Portland International Airport,Portland
PHL,Philadelphia International Airport,Philadelphia
PHX,Phoenix Sky Harbor International Airport,Phoenix
PIA,General Wayne A. Downing Peoria International Airport,Peoria
PIT,Pittsburgh International Airport,Pittsburgh
PNS,Pensacola Regional Airport,Pensacola
PSP,Palm Springs International Airport,Palm Springs
PWM,Portland International Jetport Airport,Portland
RDU,Raleigh Durham International Airport,Raleigh/Durham
RIC,Richmond International Airport,Richmond
ROA,Roanoke–Blacksburg Regional Airport,Roanoke
ROC,Greater Rochester International Airport,Rochester
RSW,Southwest Florida International Airport,Fort Myers
SAN,San Diego International Airport,San Diego
SAT,San Antonio International Airport,San Antonio
SAV,Savannah Hilton Head International Airport,Savannah
SEA,Seattle Tacoma International Airport,Seattle
SFO,San Francisco International Airport,San Francisco
SLC,Salt Lake City International Airport,Salt Lake City
SMF,Sacramento International Airport,Sacramento
SNA,John Wayne Airport-Orange County Airport,Santa Ana
STL,St Louis Lambert International Airport,St Louis
SYR,Syracuse Hancock International Airport,Syracuse
TEX,Telluride Regional Airport,Telluride
TPA,Tampa International Airport,Tampa
TTN,Trenton Mercer Airport,Trenton
TUL,Tulsa International Airport,Tulsa
TVC,Cherry Capital Airport,Traverse City
